,Date,Open,High,Low,Close,Adj Close,Volume,Hour
3390,2019-04-24 09:00:00,124.95,125.14,124.86,125.08,125.08,2027445,09:00:00
3391,2019-04-24 10:00:00,125.08,125.19,124.97,125.14,125.14,1715322,10:00:00
3392,2019-04-24 11:00:00,125.15,125.22,125.0,125.1,125.1,1776616,11:00:00
3393,2019-04-24 12:00:00,125.09,125.42,125.01,125.37,125.37,2608725,12:00:00
3394,2019-04-24 13:00:00,125.38,125.46,125.04,125.07,125.07,3348982,13:00:00
3395,2019-04-24 14:00:00,125.01,129.25,124.82,128.75,128.75,0,14:00:00
3396,2019-04-24 15:00:00,128.75,130.3,125.01,130.23,130.23,0,15:00:00
3397,2019-04-24 16:00:00,130.03,130.87,129.85,129.91,129.91,0,16:00:00
3398,2019-04-24 17:00:00,129.91,129.95,129.23,129.35,129.35,0,17:00:00
3399,2019-04-25 01:00:00,129.35,130.23,129.35,130.23,130.23,0,01:00:00
3400,2019-04-25 02:00:00,130.22,130.23,129.99,130.14,130.14,0,02:00:00
3401,2019-04-25 03:00:00,130.06,131.0,130.02,130.9,130.9,0,03:00:00
3402,2019-04-25 04:00:00,130.9,131.5,130.89,131.0,131.0,0,04:00:00
3403,2019-04-25 05:00:00,131.0,131.85,130.5,131.75,131.75,0,05:00:00
3404,2019-04-25 06:00:00,131.67,131.75,130.01,130.15,130.15,0,06:00:00
3405,2019-04-25 07:00:00,130.06,131.37,128.83,129.55,129.55,16858890,07:00:00
3406,2019-04-25 08:00:00,129.54,129.97,129.12,129.88,129.88,4585027,08:00:00
3407,2019-04-25 09:00:00,129.88,130.18,129.58,129.59,129.59,3209576,09:00:00
3408,2019-04-25 10:00:00,129.58,129.7,129.08,129.21,129.21,2216361,10:00:00
3409,2019-04-25 11:00:00,129.21,129.81,129.13,129.58,129.58,1972412,11:00:00
3410,2019-04-25 12:00:00,129.58,129.89,129.36,129.5,129.5,2868506,12:00:00
3411,2019-04-25 13:00:00,129.5,129.6,129.08,129.08,129.08,2986770,13:00:00
3412,2019-04-25 14:00:00,129.15,129.62,128.9,129.0,129.0,0,14:00:00
3413,2019-04-25 15:00:00,129.15,129.15,128.54,128.98,128.98,0,15:00:00
3414,2019-04-25 16:00:00,128.99,129.15,128.9,128.98,128.98,0,16:00:00
3415,2019-04-25 17:00:00,128.98,129.06,128.9,129.06,129.06,0,17:00:00
3416,2019-04-26 01:00:00,129.1,129.1,129.1,129.1,129.1,0,01:00:00
3417,2019-04-26 02:00:00,129.07,129.15,129.07,129.15,129.15,0,02:00:00
3418,2019-04-26 03:00:00,129.19,129.33,129.0,129.0,129.0,0,03:00:00
3419,2019-04-26 04:00:00,129.13,129.7,128.82,129.69,129.69,0,04:00:00
3420,2019-04-26 05:00:00,129.6,129.98,129.42,129.67,129.67,0,05:00:00
3421,2019-04-26 06:00:00,129.7,130.52,129.02,129.34,129.34,6416645,06:00:00
3422,2019-04-26 07:00:00,129.34,129.73,129.17,129.6,129.6,3002488,07:00:00
3423,2019-04-26 08:00:00,129.59,130.04,129.51,129.9,129.9,2311628,08:00:00
3424,2019-04-26 09:00:00,129.9,129.98,129.52,129.68,129.68,1404361,09:00:00
3425,2019-04-26 10:00:00,129.69,129.89,129.38,129.77,129.77,1772422,10:00:00
3426,2019-04-26 11:00:00,129.77,129.86,129.58,129.6,129.6,1646171,11:00:00
3427,2019-04-26 12:00:00,129.6,129.91,129.57,129.89,129.89,2608196,12:00:00
3428,2019-04-26 13:00:00,129.89,129.92,129.5,129.88,129.88,0,13:00:00
3429,2019-04-26 14:00:00,129.89,129.89,129.63,129.67,129.67,0,14:00:00
3430,2019-04-26 15:00:00,129.7,129.75,129.62,129.67,129.67,0,15:00:00
3431,2019-04-26 16:00:00,129.7,129.75,129.7,129.75,129.75,0,16:00:00
3432,2019-04-29 01:00:00,130.5,130.66,130.48,130.53,130.53,0,01:00:00
3433,2019-04-29 02:00:00,130.5,130.65,130.09,130.09,130.09,0,02:00:00
